"data";"numeracaoItem";"titulo";"autor";"material";"esfera";"situacao";"assinatura";"publicacao";"assunto";"ementa"
"2021-10-08";"27.";"DSP - DESPACHO 3157/2021";"SFG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-07";"2021-10-08";"Liberação";"Libera as unidades geradoras UG15 e UG16, para início da operação em teste, da Central Geradora Eólica Ventos de Santa Martina 13, nos municípios de Bento Fernandes e Riachuelo, (RN), de titularidade da Ventos de Santa Sara Energias Renováveis S.A. Imprimir"
"2021-10-08";"28.";"DSP - DESPACHO 3158/2021";"SFG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-07";"2021-10-08";"Liberação";"Libera a unidade geradora UG4, para início da operação em teste, da Central Geradora Eólica Ventos de Santa Martina 14, nos municípios de Caiçara do Rio do Vento e Riachuelo, (RN), de titularidade da Ventos de Santa Sofia Energias Renováveis S.A. Imprimir"
"2021-10-08";"29.";"DSP - DESPACHO 3170/2021";"SFG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-07";"2021-10-08";"Liberação";"Libera as unidades geradoras UG6 e UG7, para início da operação em teste, da Central Geradora Eólica Ventos de Santa Martina 01, no município de Caiçara do Rio do Vento, (RN), de titularidade da Ventos de Santa Amélia Energias Renováveis S.A. Imprimir"
"2021-10-08";"30.";"DSP - DESPACHO 3182/2021";"SGT/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-07";"2021-10-08";"Publicação";"Publica as Tarifas de Uso do Sistema de Transmissão de Rede Básica - TUST-RB na modalidade geração e em carácter temporário aplicáveis à Usina Termelétrica Termonorte I, no ponto de conexão da Subestação Porto Velho, para o ciclo 2021-2022, conforme tabela. Imprimir"
"2021-10-08";"31.";"EDT - EDITAL";"SLC/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"";"2021-10-08";"Edital";"Publica a notificação à Life Tecnologia e Consultoria Ltda, por encontrar-se em lugar incerto e não sabido, da conclusão da decisão foi de que a conduta é tipificada como infração por desistência desmotivada, não manutenção da proposta, razão pela qual se sanciona a licitante com a aplicação de multa. Imprimir"
"2021-10-08";"32.";"PRT - PORTARIA 212/2021";"SAF/SGI/SLC/ANEEL";"Legislação";"Outros";"REVOGADA";"2021-08-09";"2021-10-08";"Designação";"Designa Herbert de Lima Monteiro como gestor do Contrato ANEEL 015 de 2021, tendo como substituto André Gustavo de Andrade Moreira, além dos seguintes servidores como fiscais das suas respectivas áreas de atuação. Imprimir"
"2021-10-08";"33.";"PRT - PORTARIA 269/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-04";"2021-10-08";"Nomeação";""
"2021-10-08";"34.";"PRT - PORTARIA 272/2021";"SRH/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-08";"2021-10-08";"Licença para capacitação";"Concede ao servidor Marcelo Hlebetz de Souza, da ANEEL, licença para capacitação, pelo período de sessenta dias, divididos em dois períodos: trinta dias contados a partir de 28 de outubro de 2021, e trinta dias a partir de 27 de janeiro de 2022. Imprimir"
"2021-10-08";"35.";"PRT - PORTARIA 273/2021";"SRH/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-08";"2021-10-08";"Licença para capacitação";"Concede ao servidor Daniel Vieira, da ANEEL, licença para capacitação, pelo período de cinquenta e três dias, contados a partir de 3 de janeiro de 2022. Imprimir"
"2021-10-08";"36.";"PRT - PORTARIA 274/2021";"SRH/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-08";"2021-10-08";"Licença para capacitação";"Concede à servidora Ana Flávia Nascimento Otto, da ANEEL, licença para capacitação, pelo período de noventa dias, contados a partir de 29 de novembro de 2021. Imprimir"
"2021-10-08";"37.";"PRT - PORTARIA 275/2021";"SRH/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-08";"2021-10-08";"Alteração";""
"2021-10-08";"38.";"REA - RESOLUÇÃO AUTORIZATIVA 10597/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-09-21";"2021-10-08";"Autorização";"Autoriza a Rio Alto STL I Geração de Energia SPE Ltda a implantar e explorar a Central Geradora Solar Fotovoltaica Santa Luzia 1, sob o regime de Produção Independente de Energia Elétrica, no município de Santa Luzia, (PB). Imprimir"
